INL,HIB,44,156,637
SLC,CNY,54,137,410
SEA,PSC,62,303,347
OAK,SAN,83,262,6906
ORD,CMX,86,420,1234
DFW,GGG,55,191,1229
DFW,SJT,60,211,3103
DFW,TXK,58,255,1833
DFW,GUC,123,412,243
DFW,SAF,104,504,1868
DFW,LBB,70,184,1338
DFW,GPT,101,349,1786
DFW,AMA,72,189,2240
DFW,MGM,117,441,1858
OKC,DFW,59,259,5242
DFW,GCK,86,299,1272
DFW,JLN,80,397,1269
DFW,IAH,69,181,7741
DFW,ROW,90,284,1831
DFW,SPS,49,155,2340
SFO,HDN,137,344,26
IAD,UST,116,418,6
CAK,BOS,102,305,585
DFW,TXK,58,255,1833
DCA,HPN,69,331,6
MCO,ORH,166,624,634
MCO,BHM,88,267,1312
MCO,ILG,141,465,122
FLL,MCO,59,266,1331
PDX,SBA,126,326,664
PDX,HNL,343,924,1425
PDX,SEA,52,180,3667
BOI,PDX,76,270,121
PDX,FAT,107,477,199
YAK,CDV,49,194,652
JNU,YAK,51,193,650
BOI,GEG,59,172,1159
PHX,LGB,92,256,2
DTW,SWF,100,253,38
ANC,BET,72,342,1759
TUS,LAX,90,261,5229
PHX,TUS,51,173,2286
MIA,EYW,46,166,1070
SFO,KOA,308,856,1369
CLT,MDT,91,265,246
DFW,GUC,123,412,243
MSP,FAR,63,270,3419
ATL,ECP,65,225,4020
IAH,HOB,99,387,1086
MSP,MLI,81,305,121
SFO,SBP,62,156,2025
ORD,CMX,86,420,1234
ORD,IND,64,285,5780
ORD,ABE,121,379,1284
ORD,TOL,64,169,1798
ORD,DSM,78,271,6026
ORD,MKG,56,163,1235
ORD,CHA,104,274,728
ORD,BMI,52,210,1796
LAN,ORD,60,198,1678
ORD,BIS,131,415,645
ELP,AUS,89,370,1713
MCO,ORH,166,624,634
BWI,DAY,81,244,1354
SFO,OTH,91,414,477
ANC,OTZ,92,259,961
OTZ,OME,45,159,310
IAH,TYR,57,203,1331
EWR,AVP,49,144,103
MSP,XNA,118,359,919
PSG,JNU,43,119,654
WRG,PSG,24,89,651
ATL,FNT,117,333,1895
STL,TUL,68,302,665
STL,OKC,81,216,829
STL,MSP,87,260,4504
BNA,STL,61,227,1239
CAK,BOS,102,305,585
CAK,DCA,65,243,530
DTW,CAK,55,160,377
MCI,DLH,91,406,1
DCA,HPN,69,331,6
CAK,DCA,65,243,530
DCA,HSV,114,300,46
SLC,GCC,86,223,660
GCC,RKS,65,226,51
KTN,WRG,37,105,650
SIT,KTN,51,236,662
IAH,LRD,74,265,1794
OGG,BLI,355,1221,175
LIH,OGG,48,195,2639
DCA,HSV,114,300,46
ATL,TYS,55,230,3395
HOU,CRP,49,147,2468
SFO,CEC,91,261,348
BWI,CHS,91,244,2000
DFW,GPT,101,349,1786
ORD,TOL,64,169,1798
PHX,FLG,51,155,3217
DTW,MEM,111,406,842
DTW,SWF,100,253,38
DTW,CAK,55,160,377
DTW,ERI,62,155,196
DTW,CMH,59,226,313
DTW,LEX,75,220,977
DTW,FWA,55,147,1941
DTW,LIT,123,352,547
DTW,ELM,76,192,2824
DTW,APN,64,200,1095
DTW,ACY,96,389,290
DTW,MBS,50,153,864
DTW,BGR,125,341,621
PIT,DTW,62,202,1054
DTW,GRR,52,177,2726
DTW,BGM,83,330,517
DTW,ITH,87,360,61
DTW,MQT,89,276,35
DTW,LAN,47,161,857
DTW,TVC,62,205,1505
RDU,PHF,50,155,1
MSP,LSE,53,248,963
DFW,AMA,72,189,2240
AMA,DAL,67,217,2381
EWR,ALB,63,311,323
DFW,MGM,117,441,1858
DRO,PHX,81,268,1360
DEN,DRO,68,242,1114
FLL,JAX,73,333,1447
HOU,SAT,52,235,2560
SAT,ELP,83,219,1587
HOU,PNS,87,295,660
LGA,CHO,82,338,709
SLC,JAC,58,260,1886
PDX,SBA,126,326,664
DEN,EGE,58,257,12
BWI,ORF,53,191,2244
SLC,FCA,100,478,1763
ORD,DSM,78,271,6026
IAH,ISN,206,842,603
PDX,HNL,343,924,1425
HNL,PPG,334,884,213
HNL,ITO,53,149,9571
BWI,SJU,244,635,1235
SJU,STX,38,117,665
MIA,EYW,46,166,1070
TPA,MIA,63,208,3969
MIA,PBI,49,159,1
ATL,SCE,115,409,78
DEN,ABQ,75,217,3202
CLE,MKE,77,255,1498
OTZ,OME,45,159,310
AMA,DAL,67,217,2381
SJC,ONT,66,300,2608
ATL,FAY,78,321,3229
CLT,DAB,86,240,10
BHM,HOU,98,269,1208
HOU,CRP,49,147,2468
HOU,SAT,52,235,2560
HOU,PNS,87,295,660
HOU,HRL,59,284,3059
IAH,MAF,89,270,4014
DTW,ELM,76,192,2824
ELP,AUS,89,370,1713
SAT,ELP,83,219,1587
MYR,LBE,85,382,386
DTW,APN,64,200,1095
JMS,DVL,42,194,721
MSP,IDA,146,557,38
MSP,CWA,61,193,50
MSP,GRB,67,265,2099
DEN,ICT,87,350,1696
RIC,CAE,88,312,1
PHL,RIC,63,193,12
RIC,LGA,87,238,2566
SLC,MSO,89,256,1995
GSO,ATL,75,202,5301
IAD,GSO,68,201,120
EWR,AVL,113,314,321
JFK,ACK,66,234,661
MYR,CRW,70,214,128
ATL,LFT,100,308,2364
MSP,RAP,98,411,2623
DFW,JLN,80,397,1269
PDX,FAT,107,477,199
SIT,KTN,51,236,662
SEA,SIT,138,367,590
MCO,ILG,141,465,122
ANC,DLG,64,256,154
EWR,BTV,77,293,1038
ATL,ABY,52,181,1730
DTW,GRR,52,177,2726
MYR,IAG,110,329,230
MYR,PBG,129,424,101
MYR,LBE,85,382,386
MYR,CRW,70,214,128
CLT,MYR,59,227,12
DFW,ROW,90,284,1831
IAH,CLL,42,131,1364
MIA,PBI,49,159,1
ORD,BMI,52,210,1796
DTW,BGM,83,330,517
LAX,LAS,70,308,19173
MCI,LNK,51,130,1
LGA,MHT,75,289,242
LGA,CHO,82,338,709
RIC,LGA,87,238,2566
DEN,BIL,88,258,2188
DTW,ITH,87,360,61
FLL,STT,164,412,612
DTW,MQT,89,276,35
LBB,DEN,93,278,1172
DEN,DRO,68,242,1114
DEN,EGE,58,257,12
DEN,SUN,108,363,214
DEN,ABQ,75,217,3202
DEN,JMS,109,308,777
DEN,GJT,61,256,899
DEN,ICT,87,350,1696
DEN,PUB,48,165,508
DEN,BIL,88,258,2188
IAH,LCH,48,123,2110
SBN,COS,176,585,1
CMH,MDW,66,201,3566
MSP,OMA,72,219,2543
IAD,ROA,68,304,10
DFW,GGG,55,191,1229
DFW,SJT,60,211,3103
BWI,DAY,81,244,1354
BWI,CHS,91,244,2000
BWI,ORF,53,191,2244
BWI,BUF,66,222,3531
BWI,SJU,244,635,1235
PHL,BWI,56,181,14
BWI,PWM,86,235,1948
LAX,SMX,58,206,493
ORD,IND,64,285,5780
STL,TUL,68,302,665
YAK,CDV,49,194,652
CDV,ANC,47,193,654
BUR,SJC,60,191,4134
SJC,ONT,66,300,2608
SJC,SNA,71,257,5351
DTW,MEM,111,406,842
ATL,ECP,65,225,4020
ATL,SRQ,90,343,3847
ATL,FNT,117,333,1895
ATL,TYS,55,230,3395
ATL,TLH,63,197,4177
ATL,SCE,115,409,78
ATL,AGS,54,139,4689
ATL,FAY,78,321,3229
ATL,GTR,67,289,1824
GSO,ATL,75,202,5301
ATL,LFT,100,308,2364
ATL,ABY,52,181,1730
ATL,EVV,80,364,1898
JNU,GST,32,97,150
CDV,ANC,47,193,654
ANC,BET,72,342,1759
ANC,OTZ,92,259,961
ANC,AKN,59,192,126
ANC,ADQ,55,161,874
ANC,SCC,102,504,835
ANC,DLG,64,256,154
ANC,ADK,175,485,177
EWR,SYR,72,198,971
MSP,FSD,62,242,2525
CLT,ILM,60,219,323
INL,BRD,59,203,4
BUR,SJC,60,191,4134
PHX,BUR,79,279,3751
BUR,OAK,65,169,7249
BUR,SFO,79,280,3088
SLC,BZN,78,326,2113
IMT,RHI,41,164,554
BNA,MOB,78,329,1
ANC,AKN,59,192,126
ATL,SRQ,90,343,3847
BUF,JFK,82,214,4796
JFK,HYA,61,187,163
JFK,MVY,59,185,242
JFK,ACK,66,234,661
RDU,TPA,100,264,1714
RDU,PHF,50,155,1
RDU,BNA,83,246,1960
IAD,RDU,63,222,773
SJU,STX,38,117,665
DFW,SAF,104,504,1868
ORD,ABE,121,379,1284
MYR,IAG,110,329,230
OGG,BLI,355,1221,175
FLL,BQN,145,670,324
RDU,TPA,100,264,1714
TPA,MIA,63,208,3969
TPA,FLL,56,165,3802
DTW,ERI,62,155,196
LGA,MHT,75,289,242
MCO,BHM,88,267,1312
BHM,HOU,98,269,1208
SFO,MMH,66,240,262
MCI,MSY,109,286,662
BRW,FAI,81,312,322
SCC,BRW,48,175,813
SLC,CDC,58,167,1142
DTW,CMH,59,226,313
CMH,MDW,66,201,3566
DFW,LBB,70,184,1338
LBB,DEN,93,278,1172
IAH,MTJ,154,388,339
SLC,CNY,54,137,410
SLC,BZN,78,326,2113
SLC,GCC,86,223,660
SLC,CDC,58,167,1142
SLC,COD,76,358,673
SLC,JAC,58,260,1886
SLC,FCA,100,478,1763
SLC,WYS,67,238,415
SLC,SGU,67,300,2381
SLC,BOI,68,286,3149
SLC,MSO,89,256,1995
SLC,RDM,97,331,1186
PHX,SLC,94,255,10905
RIC,CAE,88,312,1
LAX,RNO,86,311,3772
ATL,TLH,63,197,4177
MSP,RST,47,176,794
RST,CLE,91,311,1
CLT,SDF,82,247,16
DTW,LEX,75,220,977
DTW,FWA,55,147,1941
DTW,LIT,123,352,547
SLC,COD,76,358,673
MSN,CID,49,186,1
HOU,HRL,59,284,3059
OKC,DFW,59,259,5242
STL,OKC,81,216,829
IAD,ROC,82,229,222
ROC,EWR,75,198,1406
DEN,SUN,108,363,214
EWR,BDL,57,267,879
BWI,BUF,66,222,3531
BUF,JFK,82,214,4796
JNU,YAK,51,193,650
JNU,GST,32,97,150
PSG,JNU,43,119,654
IAD,TTN,105,282,1
SNA,SMF,80,202,4226
WRG,PSG,24,89,651
KTN,WRG,37,105,650
SLC,WYS,67,238,415
IAH,AEX,58,276,1803
MSP,FAR,63,270,3419
MSP,FSD,62,242,2525
MSP,MLI,81,305,121
MSP,XNA,118,359,919
STL,MSP,87,260,4504
MSP,RST,47,176,794
MSP,LSE,53,248,963
MSP,PIA,97,336,39
MSP,ATW,68,273,1023
MSP,IDA,146,557,38
MSP,CWA,61,193,50
MSP,GRB,67,265,2099
MSP,AZO,92,248,230
MSP,INL,69,176,482
MSP,HLN,145,610,456
MSP,RAP,98,411,2623
MSP,GTF,142,457,606
MSP,DIK,97,455,1177
MSP,PSP,205,576,308
MSP,IMT,69,304,662
MSP,OMA,72,219,2543
MSP,ASE,150,395,42
ORD,MKG,56,163,1235
ANC,ADQ,55,161,874
BNA,RSW,118,297,201
RSW,ISP,168,722,54
EWR,SBN,122,486,610
SBN,COS,176,585,1
ATL,AGS,54,139,4689
IAD,CVG,82,274,147
CVG,MSN,84,271,72
JMS,DVL,42,194,721
DEN,JMS,109,308,777
BNA,MOB,78,329,1
RDU,BNA,83,246,1960
BNA,STL,61,227,1239
BNA,RSW,118,297,201
BNA,MCI,88,258,2151
ORD,CHA,104,274,728
MYR,PBG,129,424,101
MSP,PIA,97,336,39
SEA,PSC,62,303,347
PDX,SEA,52,180,3667
SEA,SIT,138,367,590
MSP,ATW,68,273,1023
ATL,GTR,67,289,1824
SLC,SGU,67,300,2381
IAD,GSP,86,276,16
DTW,ACY,96,389,290
BOI,PDX,76,270,121
BOI,GEG,59,172,1159
SLC,BOI,68,286,3149
LIH,OGG,48,195,2639
SFO,LIH,316,804,856
DTW,MBS,50,153,864
DEN,GJT,61,256,899
IAD,UST,116,418,6
IAD,RDU,63,222,773
IAD,ROC,82,229,222
IAD,TTN,105,282,1
IAD,CVG,82,274,147
IAD,GSP,86,276,16
IAD,GSO,68,201,120
IAD,PIT,63,218,427
CLT,IAD,81,234,25
IAD,SAV,104,417,171
IAD,ROA,68,304,10
HNL,PPG,334,884,213
IAH,BFL,211,543,956
BRW,FAI,81,312,322
DTW,BGR,125,341,621
ANC,SCC,102,504,835
SCC,BRW,48,175,813
JFK,HYA,61,187,163
PHL,BWI,56,181,14
PHL,RIC,63,193,12
PIT,PHL,78,210,1773
PHL,PVD,71,183,564
MSP,AZO,92,248,230
IAH,GRK,58,273,1574
INL,HIB,44,156,637
INL,BRD,59,203,4
MSP,INL,69,176,482
PIT,DTW,62,202,1054
IAD,PIT,63,218,427
PIT,PHL,78,210,1773
JFK,MVY,59,185,242
MSP,HLN,145,610,456
DFW,GCK,86,299,1272
MSP,GTF,142,457,606
LAX,SMX,58,206,493
TUS,LAX,90,261,5229
LAX,RNO,86,311,3772
LAX,LAS,70,308,19173
MSP,DIK,97,455,1177
HNL,ITO,53,149,9571
DFW,IAH,69,181,7741
IAH,HOB,99,387,1086
IAH,TYR,57,203,1331
IAH,LRD,74,265,1794
IAH,MTJ,154,388,339
IAH,ISN,206,842,603
IAH,AEX,58,276,1803
IAH,MAF,89,270,4014
IAH,BFL,211,543,956
IAH,GRK,58,273,1574
IAH,CLL,42,131,1364
IAH,LCH,48,123,2110
DEN,PUB,48,165,508
SLC,RDM,97,331,1186
ANC,ADK,175,485,177
EWR,SYR,72,198,971
EWR,AVP,49,144,103
EWR,ALB,63,311,323
ROC,EWR,75,198,1406
EWR,BDL,57,267,879
EWR,SBN,122,486,610
EWR,AVL,113,314,321
EWR,BTV,77,293,1038
GCC,RKS,65,226,51
MSP,PSP,205,576,308
FLL,MCO,59,266,1331
FLL,BQN,145,670,324
TPA,FLL,56,165,3802
FLL,JAX,73,333,1447
FLL,STT,164,412,612
PHL,PVD,71,183,564
SFO,RDD,65,260,1412
RST,CLE,91,311,1
CLE,MKE,77,255,1498
DFW,SPS,49,155,2340
CLT,MDT,91,265,246
CLT,ILM,60,219,323
CLT,SDF,82,247,16
CLT,DAB,86,240,10
CLT,IAD,81,234,25
CLT,MYR,59,227,12
MSN,CID,49,186,1
CVG,MSN,84,271,72
PHX,LGB,92,256,2
PHX,TUS,51,173,2286
PHX,BUR,79,279,3751
PHX,SLC,94,255,10905
PHX,FLG,51,155,3217
DRO,PHX,81,268,1360
OAK,SAN,83,262,6906
BUR,OAK,65,169,7249
ATL,EVV,80,364,1898
RSW,ISP,168,722,54
LAN,ORD,60,198,1678
DTW,LAN,47,161,857
BWI,PWM,86,235,1948
DTW,TVC,62,205,1505
IMT,RHI,41,164,554
MSP,IMT,69,304,662
MCI,DLH,91,406,1
MCI,MSY,109,286,662
BNA,MCI,88,258,2151
MCI,LNK,51,130,1
IAD,SAV,104,417,171
SFO,HDN,137,344,26
SFO,KOA,308,856,1369
SFO,SBP,62,156,2025
BUR,SFO,79,280,3088
SFO,OTH,91,414,477
SFO,MMH,66,240,262
SFO,CEC,91,261,348
SFO,LIH,316,804,856
SFO,RDD,65,260,1412
SJC,SNA,71,257,5351
SNA,SMF,80,202,4226
MSP,ASE,150,395,42
ORD,BIS,131,415,645
